importing_region,exporting_region,year,spore,capacity_gw
ALB_1,GRC_1,2030,0,1.4199699312133782e-06
ALB_1,GRC_1,2030,21,-4.738404522089065e-08
ALB_1,GRC_1,2030,32,0.02229845803912718
ALB_1,GRC_1,2030,77,2.392447546520713e-07
ALB_1,GRC_1,2030,100,0.0008626173482778609
ALB_1,GRC_1,2030,206,9.034667069626959e-10
ALB_1,GRC_1,2030,255,-4.0206304408438083e-10
ALB_1,GRC_1,2030,263,2.6069014606383943e-07
ALB_1,GRC_1,2030,328,-4.754487797078582e-06
ALB_1,GRC_1,2030,345,-2.254762881938576e-05
ALB_1,GRC_1,2030,431,-9.132961139983425e-06
ALB_1,MKD_1,2030,0,3.713621800761913e-08
ALB_1,MKD_1,2030,21,1.1421231921052069e-07
ALB_1,MKD_1,2030,32,0.023915281853158523
ALB_1,MKD_1,2030,77,2.843728174367189e-09
ALB_1,MKD_1,2030,100,0.0003058253263095727
ALB_1,MKD_1,2030,206,1.9790829383886534e-09
ALB_1,MKD_1,2030,255,-1.8659510363140067e-08
ALB_1,MKD_1,2030,263,2.1178103973158436e-07
ALB_1,MKD_1,2030,328,-3.3864115982533156e-06
ALB_1,MKD_1,2030,345,-2.0823414661661287e-05
ALB_1,MKD_1,2030,431,-6.179791065409173e-06
ALB_1,MNE_1,2030,0,0.08071239184926948
ALB_1,MNE_1,2030,21,6.867500542065463e-06
ALB_1,MNE_1,2030,32,0.1210659352954595
ALB_1,MNE_1,2030,77,1.31838977360287e-06
ALB_1,MNE_1,2030,100,0.045372731885759854
ALB_1,MNE_1,2030,206,8.716269757814529e-08
ALB_1,MNE_1,2030,255,5.421906893938973e-08
ALB_1,MNE_1,2030,263,4.532773968274472e-06
ALB_1,MNE_1,2030,328,4.089192484190551e-06
ALB_1,MNE_1,2030,345,-3.149445269426243e-05
ALB_1,MNE_1,2030,431,4.2306754552922786e-05
ALB_1,SRB_1,2030,0,0.2746042760856282
ALB_1,SRB_1,2030,21,0.4487688427576547
ALB_1,SRB_1,2030,32,0.5180830274853777
ALB_1,SRB_1,2030,77,0.03189462913794768
ALB_1,SRB_1,2030,100,0.030656443360585636
ALB_1,SRB_1,2030,206,0.928386356669749
ALB_1,SRB_1,2030,255,0.5992596869273215
ALB_1,SRB_1,2030,263,0.3765275022549576
ALB_1,SRB_1,2030,328,1.4512989812617085
ALB_1,SRB_1,2030,345,-1.018682906733822e-05
ALB_1,SRB_1,2030,431,0.00010089481423577234
AUT_1,AUT_2,2030,0,3.101879490154355e-06
AUT_1,AUT_2,2030,21,2.6865919423642147e-07
AUT_1,AUT_2,2030,32,0.00035929654706633483
AUT_1,AUT_2,2030,77,0.14835434862293473
AUT_1,AUT_2,2030,100,0.001716215906328706
AUT_1,AUT_2,2030,206,1.2843110533409095e-07
AUT_1,AUT_2,2030,255,1.681352089062521e-07
AUT_1,AUT_2,2030,263,7.41293227731934e-08
AUT_1,AUT_2,2030,328,-4.288666560144025e-06
AUT_1,AUT_2,2030,345,1.776943074522699e-05
AUT_1,AUT_2,2030,431,-1.7186736784360583e-06
AUT_1,CHE_1,2030,0,1.7015707643326383e-06
AUT_1,CHE_1,2030,21,9.871926489234297e-07
AUT_1,CHE_1,2030,32,0.13845024309730036
AUT_1,CHE_1,2030,77,1.459695749274303e-07
AUT_1,CHE_1,2030,100,0.000208881549879452
AUT_1,CHE_1,2030,206,2.163405751902646e-08
AUT_1,CHE_1,2030,255,-5.840118137807307e-09
AUT_1,CHE_1,2030,263,2.1898550605944798e-07
AUT_1,CHE_1,2030,328,2.2945401751274648e-05
AUT_1,CHE_1,2030,345,-1.0730484760613258e-05
AUT_1,CHE_1,2030,431,-1.189242988632333e-06
AUT_1,CHE_2,2030,0,-5.286209726557184e-07
AUT_1,CHE_2,2030,21,-7.095902254881707e-07
AUT_1,CHE_2,2030,32,0.002701610755412054
AUT_1,CHE_2,2030,77,4.7377913612978346e-08
AUT_1,CHE_2,2030,100,1.4536479773441718e-05
AUT_1,CHE_2,2030,206,2.4564408359175295e-07
AUT_1,CHE_2,2030,255,-1.1075157849736037e-08
AUT_1,CHE_2,2030,263,5.954910030099575e-07
AUT_1,CHE_2,2030,328,1.98261856369292e-06
AUT_1,CHE_2,2030,345,-2.7820331078648144e-05
AUT_1,CHE_2,2030,431,-1.212472945484883e-05
AUT_1,DEU_6,2030,0,5.636105965755349e-08
AUT_1,DEU_6,2030,21,2.078753416176722e-06
AUT_1,DEU_6,2030,32,0.002305733197000785
AUT_1,DEU_6,2030,77,1.8270993431349732e-07
AUT_1,DEU_6,2030,100,0.00040004744063355086
AUT_1,DEU_6,2030,206,5.436987031908242e-07
AUT_1,DEU_6,2030,255,-4.457247131686411e-08
AUT_1,DEU_6,2030,263,4.7984482791151004e-08
AUT_1,DEU_6,2030,328,-2.9126383948207898e-06
AUT_1,DEU_6,2030,345,-1.8623055729260295e-05
AUT_1,DEU_6,2030,431,-2.315066700527219e-06
AUT_1,DEU_7,2030,0,6.964621665082892e-06
AUT_1,DEU_7,2030,21,8.413593596814439e-06
AUT_1,DEU_7,2030,32,0.00036765892373231496
AUT_1,DEU_7,2030,77,4.3570326634458587e-07
AUT_1,DEU_7,2030,100,0.000581470520607442
AUT_1,DEU_7,2030,206,1.2892583614096017e-07
AUT_1,DEU_7,2030,255,-6.233540019826658e-08
AUT_1,DEU_7,2030,263,4.856068863905662e-09
AUT_1,DEU_7,2030,328,-5.9872443201273445e-06
AUT_1,DEU_7,2030,345,-2.9387088098607238e-05
AUT_1,DEU_7,2030,431,-6.0096265277594466e-06
AUT_1,ITA_1,2030,0,0.021698439009972686
AUT_1,ITA_1,2030,21,2.943020429145631e-05
AUT_1,ITA_1,2030,32,0.2388851777625938
AUT_1,ITA_1,2030,77,0.01862275307487521
AUT_1,ITA_1,2030,100,0.01250335704720895
AUT_1,ITA_1,2030,206,0.046450433699267366
AUT_1,ITA_1,2030,255,8.020854079567416e-08
AUT_1,ITA_1,2030,263,2.0513149526909396e-07
AUT_1,ITA_1,2030,328,0.48415723965681573
AUT_1,ITA_1,2030,345,-2.8439386061429885e-05
AUT_1,ITA_1,2030,431,-2.6803500004963284e-06
AUT_2,AUT_1,2030,0,3.6955976302697007e-06
AUT_2,AUT_1,2030,21,1.1197598839240934e-06
AUT_2,AUT_1,2030,32,7.258616339768415e-05
AUT_2,AUT_1,2030,77,0.07840267351490501
AUT_2,AUT_1,2030,100,0.0019007729585829626
AUT_2,AUT_1,2030,206,5.878468870091681e-08
AUT_2,AUT_1,2030,255,1.1559944838537814e-07
AUT_2,AUT_1,2030,263,2.3238708510344577e-08
AUT_2,AUT_1,2030,328,-1.2621135026325225e-06
AUT_2,AUT_1,2030,345,0.00017186957869921464
AUT_2,AUT_1,2030,431,-8.887563575193854e-06
AUT_2,AUT_3,2030,0,0.0013319602991781713
AUT_2,AUT_3,2030,21,2.764559773313967
AUT_2,AUT_3,2030,32,8.72376817852864
AUT_2,AUT_3,2030,77,0.6813673162777384
AUT_2,AUT_3,2030,100,4.975804631219652
AUT_2,AUT_3,2030,206,2.9179207747517437
AUT_2,AUT_3,2030,255,3.138171895399835
AUT_2,AUT_3,2030,263,5.551594094794559e-08
AUT_2,AUT_3,2030,328,8.422811912878258
AUT_2,AUT_3,2030,345,-6.507508028114955e-05
AUT_2,AUT_3,2030,431,7.887886868909849
AUT_2,DEU_7,2030,0,1.0577772053283483
AUT_2,DEU_7,2030,21,2.998143864815624
AUT_2,DEU_7,2030,32,0.7912099834165827
AUT_2,DEU_7,2030,77,2.70834647659416
AUT_2,DEU_7,2030,100,1.8158700258192824
AUT_2,DEU_7,2030,206,0.737821062885559
AUT_2,DEU_7,2030,255,-9.789351428108623e-09
AUT_2,DEU_7,2030,263,7.116316938307991e-07
AUT_2,DEU_7,2030,328,3.170224580405724
AUT_2,DEU_7,2030,345,0.000154478909086102
AUT_2,DEU_7,2030,431,3.273003878775087
AUT_2,SVN_1,2030,0,0.5652542447080456
AUT_2,SVN_1,2030,21,0.10585100165209227
AUT_2,SVN_1,2030,32,2.719572240424198e-05
AUT_2,SVN_1,2030,77,4.465298912977454e-07
AUT_2,SVN_1,2030,100,0.0007969186831136517
AUT_2,SVN_1,2030,206,8.562398632912507e-07
AUT_2,SVN_1,2030,255,4.592770025580575e-09
AUT_2,SVN_1,2030,263,1.4889605814416706e-07
AUT_2,SVN_1,2030,328,0.05909954329067464
AUT_2,SVN_1,2030,345,-4.5100881014133356e-05
AUT_2,SVN_1,2030,431,-1.515774419771893e-06
AUT_3,AUT_2,2030,0,6.014891227613383
AUT_3,AUT_2,2030,21,6.802770654417119
AUT_3,AUT_2,2030,32,9.380724506823832
AUT_3,AUT_2,2030,77,2.0438305796304173
AUT_3,AUT_2,2030,100,6.586969551021075
AUT_3,AUT_2,2030,206,1.7687443456086724
AUT_3,AUT_2,2030,255,2.377268349823734
AUT_3,AUT_2,2030,263,2.571631036945849e-06
AUT_3,AUT_2,2030,328,4.344419496797339
AUT_3,AUT_2,2030,345,-2.8865747167849414e-06
AUT_3,AUT_2,2030,431,7.818068530398304
AUT_3,CZE_2,2030,0,1.0826682832693415
AUT_3,CZE_2,2030,21,1.6214194033113955e-05
AUT_3,CZE_2,2030,32,0.8660508640196244
AUT_3,CZE_2,2030,77,0.9643396080559881
AUT_3,CZE_2,2030,100,0.17251449550566267
AUT_3,CZE_2,2030,206,0.20501832250507615
AUT_3,CZE_2,2030,255,2.097725378609213
AUT_3,CZE_2,2030,263,5.541412322847014e-07
AUT_3,CZE_2,2030,328,1.190811209456267
AUT_3,CZE_2,2030,345,2.4706900286491404e-05
AUT_3,CZE_2,2030,431,0.14764087838206066
AUT_3,HUN_1,2030,0,0.8804520738146032
AUT_3,HUN_1,2030,21,4.877970843627737
AUT_3,HUN_1,2030,32,0.5182393763132216
AUT_3,HUN_1,2030,77,3.188913182743441
AUT_3,HUN_1,2030,100,3.365292393974173
AUT_3,HUN_1,2030,206,0.809932460834338
AUT_3,HUN_1,2030,255,1.630520241723041
AUT_3,HUN_1,2030,263,0.2885005220115445
AUT_3,HUN_1,2030,328,5.295814319031624
AUT_3,HUN_1,2030,345,-4.067598915634802e-05
AUT_3,HUN_1,2030,431,3.2927104002289393
BEL_1,DEU_3,2030,0,2.9589022521110243e-06
BEL_1,DEU_3,2030,21,1.5353011107759177e-06
BEL_1,DEU_3,2030,32,0.002165485835465804
BEL_1,DEU_3,2030,77,2.3348847290818745e-06
BEL_1,DEU_3,2030,100,0.0007652966382088517
BEL_1,DEU_3,2030,206,2.3932588993906916e-08
BEL_1,DEU_3,2030,255,-1.6347536793388221e-09
BEL_1,DEU_3,2030,263,1.917370082597255e-07
BEL_1,DEU_3,2030,328,2.15249578735865e-06
BEL_1,DEU_3,2030,345,-1.1196169146267438e-05
BEL_1,DEU_3,2030,431,1.1968678193918907e-05
BEL_1,FRA_12,2030,0,2.769226906941774e-05
BEL_1,FRA_12,2030,21,0.7658710729208262
BEL_1,FRA_12,2030,32,0.13062166682420379
BEL_1,FRA_12,2030,77,2.4068475930078512
BEL_1,FRA_12,2030,100,2.0616847686907644
BEL_1,FRA_12,2030,206,2.800453336059258e-08
BEL_1,FRA_12,2030,255,0.17317904908526643
BEL_1,FRA_12,2030,263,1.030601712782907
BEL_1,FRA_12,2030,328,5.111894935957715
BEL_1,FRA_12,2030,345,0.0034267417245799105
BEL_1,FRA_12,2030,431,2.2081014696820023
