importing_region,exporting_region,year,spore,capacity_gw
ALB_1,GRC_1,2030,0,0.3118182845525796
ALB_1,GRC_1,2030,21,0.12826644088582181
ALB_1,GRC_1,2030,32,0.09271544355422993
ALB_1,GRC_1,2030,77,0.2323765247689038
ALB_1,GRC_1,2030,100,0.14359936757549344
ALB_1,GRC_1,2030,206,0.12055776830324832
ALB_1,GRC_1,2030,255,0.041112461700911936
ALB_1,GRC_1,2030,263,0.11521077566347475
ALB_1,GRC_1,2030,328,0.1672505951343041
ALB_1,GRC_1,2030,345,0.11291123593792902
ALB_1,GRC_1,2030,431,0.1830611342268825
ALB_1,MKD_1,2030,0,0.06307725952156418
ALB_1,MKD_1,2030,21,0.048194390431876385
ALB_1,MKD_1,2030,32,0.2045291201683954
ALB_1,MKD_1,2030,77,0.21725488593381634
ALB_1,MKD_1,2030,100,0.06929175941156922
ALB_1,MKD_1,2030,206,0.13634328046550825
ALB_1,MKD_1,2030,255,0.013985480478950532
ALB_1,MKD_1,2030,263,0.14250863758510957
ALB_1,MKD_1,2030,328,0.2784411116064849
ALB_1,MKD_1,2030,345,0.07182532507846857
ALB_1,MKD_1,2030,431,0.0032439753350587876
ALB_1,MNE_1,2030,0,0.33105081617106785
ALB_1,MNE_1,2030,21,0.11838293850485337
ALB_1,MNE_1,2030,32,0.26359572795866126
ALB_1,MNE_1,2030,77,0.11794317200105643
ALB_1,MNE_1,2030,100,0.6296484483964245
ALB_1,MNE_1,2030,206,0.06833648883187204
ALB_1,MNE_1,2030,255,0.20411444700128564
ALB_1,MNE_1,2030,263,0.31304918011779953
ALB_1,MNE_1,2030,328,0.3162504161388654
ALB_1,MNE_1,2030,345,0.30719988707949436
ALB_1,MNE_1,2030,431,0.3166883272041666
ALB_1,SRB_1,2030,0,0.7651200840970929
ALB_1,SRB_1,2030,21,0.8579424583240804
ALB_1,SRB_1,2030,32,1.1896838088922406
ALB_1,SRB_1,2030,77,0.3851480048295008
ALB_1,SRB_1,2030,100,0.8964360737722269
ALB_1,SRB_1,2030,206,0.20469516464662144
ALB_1,SRB_1,2030,255,1.1573537301165382
ALB_1,SRB_1,2030,263,2.2371430956969025
ALB_1,SRB_1,2030,328,1.6345363215309334
ALB_1,SRB_1,2030,345,0.32068581464679335
ALB_1,SRB_1,2030,431,0.16490516617312134
AUT_1,AUT_2,2030,0,1.2231879942334603
AUT_1,AUT_2,2030,21,1.5473391106826133
AUT_1,AUT_2,2030,32,0.5288934946650389
AUT_1,AUT_2,2030,77,0.44798088918095463
AUT_1,AUT_2,2030,100,0.42307956435094785
AUT_1,AUT_2,2030,206,1.2580051368787402
AUT_1,AUT_2,2030,255,1.428147352439617
AUT_1,AUT_2,2030,263,0.7458738551949959
AUT_1,AUT_2,2030,328,2.477707413279609
AUT_1,AUT_2,2030,345,1.020387501103513
AUT_1,AUT_2,2030,431,1.1537382526567619
AUT_1,CHE_1,2030,0,0.10671349099074968
AUT_1,CHE_1,2030,21,0.12495426013049812
AUT_1,CHE_1,2030,32,0.1567191298858908
AUT_1,CHE_1,2030,77,0.2683590599007945
AUT_1,CHE_1,2030,100,0.18980227593555585
AUT_1,CHE_1,2030,206,0.017388103159365214
AUT_1,CHE_1,2030,255,0.20092666541109405
AUT_1,CHE_1,2030,263,0.10239630995149203
AUT_1,CHE_1,2030,328,0.12033256404444664
AUT_1,CHE_1,2030,345,0.2802837278855074
AUT_1,CHE_1,2030,431,0.1633777959327061
AUT_1,CHE_2,2030,0,0.3758463131197202
AUT_1,CHE_2,2030,21,0.38189033678864337
AUT_1,CHE_2,2030,32,0.12943300610777217
AUT_1,CHE_2,2030,77,0.24661788696957665
AUT_1,CHE_2,2030,100,0.5196454781633998
AUT_1,CHE_2,2030,206,0.09040081637053231
AUT_1,CHE_2,2030,255,0.5909448826832268
AUT_1,CHE_2,2030,263,0.5244254358577587
AUT_1,CHE_2,2030,328,0.3739215042135024
AUT_1,CHE_2,2030,345,0.4818418742839121
AUT_1,CHE_2,2030,431,0.04998992431663063
AUT_1,DEU_6,2030,0,0.42900885949149326
AUT_1,DEU_6,2030,21,0.4656497176099441
AUT_1,DEU_6,2030,32,0.21780735305663423
AUT_1,DEU_6,2030,77,0.5675136946020728
AUT_1,DEU_6,2030,100,0.12971689712872803
AUT_1,DEU_6,2030,206,0.5451495392364581
AUT_1,DEU_6,2030,255,0.5004232150290154
AUT_1,DEU_6,2030,263,0.7036670648095446
AUT_1,DEU_6,2030,328,0.11626157729116803
AUT_1,DEU_6,2030,345,0.29029267315811313
AUT_1,DEU_6,2030,431,0.5150706138329368
AUT_1,DEU_7,2030,0,0.23342790955514564
AUT_1,DEU_7,2030,21,0.9446317288241264
AUT_1,DEU_7,2030,32,0.6471112808525575
AUT_1,DEU_7,2030,77,0.08809559729245994
AUT_1,DEU_7,2030,100,0.6618402555467525
AUT_1,DEU_7,2030,206,0.7264413873629311
AUT_1,DEU_7,2030,255,0.14455798049000593
AUT_1,DEU_7,2030,263,0.4020630937223204
AUT_1,DEU_7,2030,328,0.9559017941282418
AUT_1,DEU_7,2030,345,0.06027964978959529
AUT_1,DEU_7,2030,431,0.535835734651934
AUT_1,ITA_1,2030,0,0.7572547815767674
AUT_1,ITA_1,2030,21,0.12029586991119755
AUT_1,ITA_1,2030,32,0.977768511489008
AUT_1,ITA_1,2030,77,0.30444450900210773
AUT_1,ITA_1,2030,100,0.8458887041696823
AUT_1,ITA_1,2030,206,0.5905281062999065
AUT_1,ITA_1,2030,255,0.5947877316617751
AUT_1,ITA_1,2030,263,0.6596298105254221
AUT_1,ITA_1,2030,328,0.5336914219102663
AUT_1,ITA_1,2030,345,0.16137168608229752
AUT_1,ITA_1,2030,431,0.5027846459816866
AUT_2,AUT_1,2030,0,1.2073633188442539
AUT_2,AUT_1,2030,21,0.938239130750873
AUT_2,AUT_1,2030,32,2.0359451660813743
AUT_2,AUT_1,2030,77,1.0394385017905265
AUT_2,AUT_1,2030,100,1.615095852554795
AUT_2,AUT_1,2030,206,0.232571188615655
AUT_2,AUT_1,2030,255,1.663021317876332
AUT_2,AUT_1,2030,263,0.6753853910732004
AUT_2,AUT_1,2030,328,2.4786483363767413
AUT_2,AUT_1,2030,345,2.458816956317442
AUT_2,AUT_1,2030,431,0.48721207626646923
AUT_2,AUT_3,2030,0,9.562553506539238
AUT_2,AUT_3,2030,21,6.803101132632574
AUT_2,AUT_3,2030,32,9.115592110034742
AUT_2,AUT_3,2030,77,2.141671217269396
AUT_2,AUT_3,2030,100,0.57962117485132
AUT_2,AUT_3,2030,206,1.2020434154546837
AUT_2,AUT_3,2030,255,5.342947047163964
AUT_2,AUT_3,2030,263,1.7339186393103014
AUT_2,AUT_3,2030,328,9.031320227145399
AUT_2,AUT_3,2030,345,0.5216579265776011
AUT_2,AUT_3,2030,431,3.4402634131862047
AUT_2,DEU_7,2030,0,0.9486276410380498
AUT_2,DEU_7,2030,21,7.3356328732468405
