year,region,technology,spore,capacity_gw
2030,Albania,Boiler,0,0.0005444124044430978
2030,Albania,Boiler,21,0.00018930016237804232
2030,Albania,Boiler,32,0.04782487073593691
2030,Albania,Boiler,77,0.0017306155932178802
2030,Albania,Boiler,100,0.181660523628534
2030,Albania,Boiler,206,0.0
2030,Albania,Boiler,255,0.032734887276539025
2030,Albania,Boiler,263,0.000682595197568513
2030,Albania,Boiler,328,0.00016590635984734418
2030,Albania,Boiler,345,0.01865846927899727
2030,Albania,Boiler,431,0.12886897781622314
2030,Albania,CHP,0,0.0010894183545471353
2030,Albania,CHP,21,0.00043417788416643386
2030,Albania,CHP,32,0.009190807197294516
2030,Albania,CHP,77,8.541191726451742e-05
2030,Albania,CHP,100,0.026944670358417477
2030,Albania,CHP,206,0.0
2030,Albania,CHP,255,0.0
2030,Albania,CHP,263,0.011622626550240503
2030,Albania,CHP,328,0.0010959640156209226
2030,Albania,CHP,345,0.024868049228994476
2030,Albania,CHP,431,0.0011622612396733774
2030,Albania,Electric heater,0,8.058174853210257e-05
2030,Albania,Electric heater,21,6.563714025752854e-06
2030,Albania,Electric heater,32,0.004554319453087892
2030,Albania,Electric heater,77,0.00021675319140586385
2030,Albania,Electric heater,100,0.0
2030,Albania,Electric heater,206,0.0
2030,Albania,Electric heater,255,0.0
2030,Albania,Electric heater,263,0.0
2030,Albania,Electric heater,328,0.0012924854135994393
2030,Albania,Electric heater,345,0.07649797181632184
2030,Albania,Electric heater,431,0.0004300354790717055
2030,Albania,Heat pump,0,0.5607308684755065
2030,Albania,Heat pump,21,0.3918805410737641
2030,Albania,Heat pump,32,0.22462852680369003
2030,Albania,Heat pump,77,0.11635422405750907
2030,Albania,Heat pump,100,0.0
2030,Albania,Heat pump,206,0.326450535442788
2030,Albania,Heat pump,255,0.03249707946078729
2030,Albania,Heat pump,263,0.02805915552415504
2030,Albania,Heat pump,328,0.3909493031622593
2030,Albania,Heat pump,345,0.03212119254051943
2030,Albania,Heat pump,431,0.0002880183093968022
2030,Austria,Boiler,0,0.0036020589067460463
2030,Austria,Boiler,21,0.008435144923357035
2030,Austria,Boiler,32,0.4815170267088927
2030,Austria,Boiler,77,0.9210144378613904
2030,Austria,Boiler,100,4.906061546333532
2030,Austria,Boiler,206,0.00018341756056248465
2030,Austria,Boiler,255,3.299309008115735
2030,Austria,Boiler,263,0.7594209734923439
2030,Austria,Boiler,328,0.0023441586581879428
2030,Austria,Boiler,345,2.5978927097044635
2030,Austria,Boiler,431,0.3411618408151932
2030,Austria,CHP,0,0.13208959800952133
2030,Austria,CHP,21,0.10519322437016741
2030,Austria,CHP,32,0.07407897249322097
2030,Austria,CHP,77,1.5398595348664357
2030,Austria,CHP,100,0.2670461273471925
2030,Austria,CHP,206,0.03172828675769154
2030,Austria,CHP,255,0.05431111064298558
2030,Austria,CHP,263,6.908365405899985
2030,Austria,CHP,328,0.06587810837101997
2030,Austria,CHP,345,0.9651490909377108
2030,Austria,CHP,431,3.982845340989538
2030,Austria,Electric heater,0,0.0010793098466029035
2030,Austria,Electric heater,21,0.0004257167545284182
2030,Austria,Electric heater,32,0.370706582602984
2030,Austria,Electric heater,77,0.00047098667306822264
2030,Austria,Electric heater,100,0.0
2030,Austria,Electric heater,206,0.0
2030,Austria,Electric heater,255,0.0
2030,Austria,Electric heater,263,0.0
2030,Austria,Electric heater,328,0.0028803565461765217
2030,Austria,Electric heater,345,0.07459075918656731
2030,Austria,Electric heater,431,1.804962761754588
2030,Austria,Heat pump,0,5.634599167679128
2030,Austria,Heat pump,21,7.1641728017312785
2030,Austria,Heat pump,32,6.693096298733577
2030,Austria,Heat pump,77,3.3690590831619094
2030,Austria,Heat pump,100,0.0
2030,Austria,Heat pump,206,8.309121281731626
2030,Austria,Heat pump,255,3.198451183454545
2030,Austria,Heat pump,263,2.949762167414814
2030,Austria,Heat pump,328,9.823809164226791
2030,Austria,Heat pump,345,1.8652282711959358
2030,Austria,Heat pump,431,0.005962164016773835
2030,Belgium,Boiler,0,0.0013270084184940354
2030,Belgium,Boiler,21,0.0005734781796067594
2030,Belgium,Boiler,32,0.03320229894320539
2030,Belgium,Boiler,77,0.022819698905498058
2030,Belgium,Boiler,100,4.434266642946309
2030,Belgium,Boiler,206,0.0
2030,Belgium,Boiler,255,0.04999940843089169
2030,Belgium,Boiler,263,3.374862710983657
2030,Belgium,Boiler,328,0.0012640658457951381
2030,Belgium,Boiler,345,4.121077882735449
2030,Belgium,Boiler,431,0.2059552009525136
2030,Belgium,CHP,0,0.1372092273853048
2030,Belgium,CHP,21,0.034362931846117675
2030,Belgium,CHP,32,0.012151073132063244
2030,Belgium,CHP,77,0.09308103966313941
2030,Belgium,CHP,100,0.02212301996232043
2030,Belgium,CHP,206,0.02862175623157888
2030,Belgium,CHP,255,0.08569550039834926
2030,Belgium,CHP,263,0.33414483636777914
2030,Belgium,CHP,328,0.16477159196437935
2030,Belgium,CHP,345,0.7215448835771963
2030,Belgium,CHP,431,2.6333607851761873
2030,Belgium,Electric heater,0,0.00016397003334216469
2030,Belgium,Electric heater,21,0.00013539385067153585
2030,Belgium,Electric heater,32,0.1343512433433763
2030,Belgium,Electric heater,77,0.00011341550576531363
2030,Belgium,Electric heater,100,0.0
2030,Belgium,Electric heater,206,0.0
2030,Belgium,Electric heater,255,0.0
2030,Belgium,Electric heater,263,0.0
2030,Belgium,Electric heater,328,0.0010046435111757993
2030,Belgium,Electric heater,345,0.05963167973571826
2030,Belgium,Electric heater,431,4.871022568567575
2030,Belgium,Heat pump,0,7.5442778210096355
2030,Belgium,Heat pump,21,9.333350906179344
2030,Belgium,Heat pump,32,11.025594891010412
2030,Belgium,Heat pump,77,15.811904877568256
2030,Belgium,Heat pump,100,0.0
2030,Belgium,Heat pump,206,5.770130399887566
2030,Belgium,Heat pump,255,4.966595260911045
2030,Belgium,Heat pump,263,5.239952760539723
2030,Belgium,Heat pump,328,19.186194762853948
2030,Belgium,Heat pump,345,6.328585252093103
2030,Belgium,Heat pump,431,0.9086162994481192
2030,Bosnia Herzegovina,Boiler,0,0.001661216485523944
2030,Bosnia Herzegovina,Boiler,21,0.0018099920899947131
2030,Bosnia Herzegovina,Boiler,32,0.0837995898083981
2030,Bosnia Herzegovina,Boiler,77,0.16310683892479227
2030,Bosnia Herzegovina,Boiler,100,1.4246283340179968
2030,Bosnia Herzegovina,Boiler,206,0.0
2030,Bosnia Herzegovina,Boiler,255,0.12428714083111168
2030,Bosnia Herzegovina,Boiler,263,0.004121240260233611
2030,Bosnia Herzegovina,Boiler,328,0.0014026651036215768
2030,Bosnia Herzegovina,Boiler,345,0.3159524326152675
2030,Bosnia Herzegovina,Boiler,431,0.0035021799604261663
2030,Bosnia Herzegovina,CHP,0,0.08757032804474653
