year,region,technology,spore,capacity_gw
2030,Albania,Bio to liquids,0,0.0
2030,Albania,Bio to liquids,21,0.0
2030,Albania,Bio to liquids,32,0.0
2030,Albania,Bio to liquids,77,0.0
2030,Albania,Bio to liquids,100,2.8236425367136097e-06
2030,Albania,Bio to liquids,206,0.0
2030,Albania,Bio to liquids,255,0.0
2030,Albania,Bio to liquids,263,0.0
2030,Albania,Bio to liquids,328,0.004074628228773334
2030,Albania,Bio to liquids,345,0.000897731404176085
2030,Albania,Bio to liquids,431,0.0
2030,Albania,CCGT,0,3.033045030247774e-06
2030,Albania,CCGT,21,0.0
2030,Albania,CCGT,32,0.004008832727460097
2030,Albania,CCGT,77,0.0
2030,Albania,CCGT,100,0.005941864170867529
2030,Albania,CCGT,206,0.0
2030,Albania,CCGT,255,0.0
2030,Albania,CCGT,263,0.0
2030,Albania,CCGT,328,0.00033755431168923004
2030,Albania,CCGT,345,0.014209868451733205
2030,Albania,CCGT,431,9.72613263677412e-05
2030,Albania,CHP,0,0.00013231671007366962
2030,Albania,CHP,21,0.000993697656179326
2030,Albania,CHP,32,0.058765679610443
2030,Albania,CHP,77,0.0015446784283369302
2030,Albania,CHP,100,0.06709649022128082
2030,Albania,CHP,206,0.0
2030,Albania,CHP,255,0.0
2030,Albania,CHP,263,0.003399534101188895
2030,Albania,CHP,328,0.00042001576911372587
2030,Albania,CHP,345,0.10789925894709491
2030,Albania,CHP,431,0.0017438548161630616
2030,Albania,Hydro,0,0.5518724331244815
2030,Albania,Hydro,21,0.6604871850261276
2030,Albania,Hydro,32,0.30770424066588753
2030,Albania,Hydro,77,0.284023587779821
2030,Albania,Hydro,100,0.3245145131553848
2030,Albania,Hydro,206,0.5170870285127598
2030,Albania,Hydro,255,0.27469089388453305
2030,Albania,Hydro,263,0.6598301122224576
2030,Albania,Hydro,328,0.19193572774533857
2030,Albania,Hydro,345,0.5965864386743961
2030,Albania,Hydro,431,0.13883198519973436
2030,Albania,Offshore wind,0,0.0
2030,Albania,Offshore wind,21,0.0
2030,Albania,Offshore wind,32,0.07061423753086273
2030,Albania,Offshore wind,77,1.8790353029047674e-06
2030,Albania,Offshore wind,100,0.02440961296635433
2030,Albania,Offshore wind,206,0.0
2030,Albania,Offshore wind,255,0.0
2030,Albania,Offshore wind,263,0.0
2030,Albania,Offshore wind,328,0.00048519032698375505
2030,Albania,Offshore wind,345,0.02565016301670281
2030,Albania,Offshore wind,431,0.000283869515666699
2030,Albania,Onshore wind,0,0.005038519848951143
2030,Albania,Onshore wind,21,0.0012978377151303434
2030,Albania,Onshore wind,32,0.2533510203851943
2030,Albania,Onshore wind,77,0.0009813492075256562
2030,Albania,Onshore wind,100,0.15713808261485296
2030,Albania,Onshore wind,206,0.0
2030,Albania,Onshore wind,255,0.0
2030,Albania,Onshore wind,263,0.0001467551918949035
2030,Albania,Onshore wind,328,3.199793234969489e-05
2030,Albania,Onshore wind,345,0.1404528458147461
2030,Albania,Onshore wind,431,0.00016627783563861337
2030,Albania,PV,0,1.743581102560001
2030,Albania,PV,21,3.2660326382176037
2030,Albania,PV,32,1.8016457137745656
2030,Albania,PV,77,2.941144323031931
2030,Albania,PV,100,1.3827985936280152
2030,Albania,PV,206,0.0
2030,Albania,PV,255,0.0
2030,Albania,PV,263,1.7870166434145172
2030,Albania,PV,328,1.9913937709583251
2030,Albania,PV,345,0.08738847787181221
2030,Albania,PV,431,0.38652500016207364
2030,Austria,Bio to liquids,0,0.0
2030,Austria,Bio to liquids,21,0.0
2030,Austria,Bio to liquids,32,0.0
2030,Austria,Bio to liquids,77,0.0
2030,Austria,Bio to liquids,100,0.00047523118944902987
2030,Austria,Bio to liquids,206,0.0
2030,Austria,Bio to liquids,255,0.0
2030,Austria,Bio to liquids,263,0.0
2030,Austria,Bio to liquids,328,0.021600026694149992
2030,Austria,Bio to liquids,345,0.0024975787138232734
2030,Austria,Bio to liquids,431,0.0
2030,Austria,CCGT,0,0.0012848811021766123
2030,Austria,CCGT,21,0.0002995359182630237
2030,Austria,CCGT,32,0.1252920141336927
2030,Austria,CCGT,77,0.0013072660269821221
2030,Austria,CCGT,100,0.06567234495262156
2030,Austria,CCGT,206,0.0
2030,Austria,CCGT,255,1.5327499804678737
2030,Austria,CCGT,263,0.0
2030,Austria,CCGT,328,0.0004512317499179153
2030,Austria,CCGT,345,0.03139106165966899
2030,Austria,CCGT,431,0.00044779359926821756
2030,Austria,CHP,0,0.33824848710613165
2030,Austria,CHP,21,0.12047936146735475
2030,Austria,CHP,32,0.15580642367149988
2030,Austria,CHP,77,1.3164284259628143
2030,Austria,CHP,100,0.2786927986270933
2030,Austria,CHP,206,0.03643094559191044
2030,Austria,CHP,255,0.031827788567630834
2030,Austria,CHP,263,3.3725584981084786
2030,Austria,CHP,328,0.09402960271555721
2030,Austria,CHP,345,0.8692648479374987
