region,technology,year,capacity_gw
Albania,CCGT,2000,0.0
Albania,CCGT,2001,0.0
Albania,CCGT,2002,0.0
Albania,CCGT,2003,0.0
Albania,CCGT,2004,0.0
Albania,CCGT,2005,0.0
Albania,CCGT,2006,0.0
Albania,CCGT,2007,0.0
Albania,CCGT,2008,0.0
Albania,CCGT,2009,0.0
Albania,CCGT,2010,0.0
Albania,CCGT,2011,0.0
Albania,CCGT,2012,0.0
Albania,CCGT,2013,0.0
Albania,CCGT,2014,0.0
Albania,CCGT,2015,0.0
Albania,CCGT,2016,0.0
Albania,CCGT,2017,0.0
Albania,CCGT,2018,0.0
Albania,CCGT,2019,0.0
Albania,CCGT,2020,0.0
Albania,CCGT,2021,0.0
Albania,Hydro,2000,1.453
Albania,Hydro,2001,1.453
Albania,Hydro,2002,1.453
Albania,Hydro,2003,1.453
Albania,Hydro,2004,1.453
Albania,Hydro,2005,1.453
Albania,Hydro,2006,1.453
Albania,Hydro,2007,1.455
Albania,Hydro,2008,1.457
Albania,Hydro,2009,1.459
Albania,Hydro,2010,1.475
Albania,Hydro,2011,1.508
Albania,Hydro,2012,1.628
Albania,Hydro,2013,1.781
Albania,Hydro,2014,1.725
Albania,Hydro,2015,1.798
Albania,Hydro,2016,1.913
Albania,Hydro,2017,2.047
Albania,Hydro,2018,2.105
Albania,Hydro,2019,2.162
Albania,Hydro,2020,2.289
Albania,Hydro,2021,2.289
Albania,Nuclear,2000,0.0
Albania,Nuclear,2001,0.0
Albania,Nuclear,2002,0.0
Albania,Nuclear,2003,0.0
Albania,Nuclear,2004,0.0
Albania,Nuclear,2005,0.0
Albania,Nuclear,2006,0.0
Albania,Nuclear,2007,0.0
Albania,Nuclear,2008,0.0
Albania,Nuclear,2009,0.0
Albania,Nuclear,2010,0.0
Albania,Nuclear,2011,0.0
Albania,Nuclear,2012,0.0
Albania,Nuclear,2013,0.0
Albania,Nuclear,2014,0.0
Albania,Nuclear,2015,0.0
Albania,Nuclear,2016,0.0
Albania,Nuclear,2017,0.0
Albania,Nuclear,2018,0.0
Albania,Nuclear,2019,0.0
Albania,Nuclear,2020,0.0
Albania,Nuclear,2021,0.0
Albania,Offshore wind,2000,0.0
Albania,Offshore wind,2001,0.0
Albania,Offshore wind,2002,0.0
Albania,Offshore wind,2003,0.0
Albania,Offshore wind,2004,0.0
Albania,Offshore wind,2005,0.0
Albania,Offshore wind,2006,0.0
Albania,Offshore wind,2007,0.0
Albania,Offshore wind,2008,0.0
Albania,Offshore wind,2009,0.0
Albania,Offshore wind,2010,0.0
Albania,Offshore wind,2011,0.0
Albania,Offshore wind,2012,0.0
Albania,Offshore wind,2013,0.0
Albania,Offshore wind,2014,0.0
Albania,Offshore wind,2015,0.0
Albania,Offshore wind,2016,0.0
Albania,Offshore wind,2017,0.0
Albania,Offshore wind,2018,0.0
Albania,Offshore wind,2019,0.0
Albania,Offshore wind,2020,0.0
Albania,Offshore wind,2021,0.0
Albania,Onshore wind,2000,0.0
Albania,Onshore wind,2001,0.0
Albania,Onshore wind,2002,0.0
Albania,Onshore wind,2003,0.0
Albania,Onshore wind,2004,0.0
Albania,Onshore wind,2005,0.0
Albania,Onshore wind,2006,0.0
Albania,Onshore wind,2007,0.0
Albania,Onshore wind,2008,0.0
Albania,Onshore wind,2009,0.0
Albania,Onshore wind,2010,0.0
Albania,Onshore wind,2011,0.0
Albania,Onshore wind,2012,0.0
Albania,Onshore wind,2013,0.0
Albania,Onshore wind,2014,0.0
Albania,Onshore wind,2015,0.0
Albania,Onshore wind,2016,0.0
Albania,Onshore wind,2017,0.0
Albania,Onshore wind,2018,0.0
Albania,Onshore wind,2019,0.0
Albania,Onshore wind,2020,0.0
Albania,Onshore wind,2021,0.0
Albania,PV,2000,0.0
Albania,PV,2001,0.0001
Albania,PV,2002,0.0002
Albania,PV,2003,0.0002
Albania,PV,2004,0.0002
Albania,PV,2005,0.0002
Albania,PV,2006,0.0002
Albania,PV,2007,0.0002
Albania,PV,2008,0.0002
Albania,PV,2009,0.0003
Albania,PV,2010,0.0004
Albania,PV,2011,0.0005639999999999999
Albania,PV,2012,0.000679
Albania,PV,2013,0.000758
Albania,PV,2014,0.000874
Albania,PV,2015,0.0010500000000000002
Albania,PV,2016,0.001
Albania,PV,2017,0.001
Albania,PV,2018,0.001
Albania,PV,2019,0.014
Albania,PV,2020,0.01685
Albania,PV,2021,0.02195
Austria,CCGT,2000,0.0
Austria,CCGT,2001,0.0
Austria,CCGT,2002,0.0
Austria,CCGT,2003,0.0
Austria,CCGT,2004,0.0
Austria,CCGT,2005,0.0
Austria,CCGT,2006,0.0
Austria,CCGT,2007,0.0
Austria,CCGT,2008,0.0
Austria,CCGT,2009,0.0
Austria,CCGT,2010,0.0
Austria,CCGT,2011,0.0
Austria,CCGT,2012,0.0
Austria,CCGT,2013,0.0
Austria,CCGT,2014,0.0
Austria,CCGT,2015,0.0
Austria,CCGT,2016,0.0
Austria,CCGT,2017,0.0
Austria,CCGT,2018,0.0
Austria,CCGT,2019,0.0
Austria,CCGT,2020,0.0
Austria,CCGT,2021,0.0
Austria,Hydro,2000,11.613
Austria,Hydro,2001,11.64
Austria,Hydro,2002,11.504
Austria,Hydro,2003,11.545
Austria,Hydro,2004,11.578
Austria,Hydro,2005,11.799042000000002
Austria,Hydro,2006,11.825096
Austria,Hydro,2007,11.988189
Austria,Hydro,2008,12.44095
Austria,Hydro,2009,12.63043
Austria,Hydro,2010,12.894848
Austria,Hydro,2011,13.177389999999999
Austria,Hydro,2012,13.308888999999999
Austria,Hydro,2013,13.383396000000001
Austria,Hydro,2014,13.532252
Austria,Hydro,2015,13.649655
Austria,Hydro,2016,14.116314000000003
Austria,Hydro,2017,14.149948
Austria,Hydro,2018,14.516245999999999
Austria,Hydro,2019,14.597108
Austria,Hydro,2020,14.604531999999999
Austria,Hydro,2021,14.545532
Austria,Nuclear,2000,0.0
Austria,Nuclear,2001,0.0
Austria,Nuclear,2002,0.0
Austria,Nuclear,2003,0.0
Austria,Nuclear,2004,0.0
Austria,Nuclear,2005,0.0
Austria,Nuclear,2006,0.0
Austria,Nuclear,2007,0.0
Austria,Nuclear,2008,0.0
Austria,Nuclear,2009,0.0
Austria,Nuclear,2010,0.0
Austria,Nuclear,2011,0.0
Austria,Nuclear,2012,0.0
Austria,Nuclear,2013,0.0
Austria,Nuclear,2014,0.0
Austria,Nuclear,2015,0.0
Austria,Nuclear,2016,0.0
Austria,Nuclear,2017,0.0
Austria,Nuclear,2018,0.0
Austria,Nuclear,2019,0.0
Austria,Nuclear,2020,0.0
Austria,Nuclear,2021,0.0
Austria,Offshore wind,2000,0.0
Austria,Offshore wind,2001,0.0
Austria,Offshore wind,2002,0.0
Austria,Offshore wind,2003,0.0
Austria,Offshore wind,2004,0.0
Austria,Offshore wind,2005,0.0
Austria,Offshore wind,2006,0.0
Austria,Offshore wind,2007,0.0
Austria,Offshore wind,2008,0.0
Austria,Offshore wind,2009,0.0
Austria,Offshore wind,2010,0.0
Austria,Offshore wind,2011,0.0
Austria,Offshore wind,2012,0.0
Austria,Offshore wind,2013,0.0
Austria,Offshore wind,2014,0.0
Austria,Offshore wind,2015,0.0
Austria,Offshore wind,2016,0.0
Austria,Offshore wind,2017,0.0
Austria,Offshore wind,2018,0.0
Austria,Offshore wind,2019,0.0
Austria,Offshore wind,2020,0.0
Austria,Offshore wind,2021,0.0
Austria,Onshore wind,2000,0.05
Austria,Onshore wind,2001,0.067
Austria,Onshore wind,2002,0.109
Austria,Onshore wind,2003,0.322
Austria,Onshore wind,2004,0.581
Austria,Onshore wind,2005,0.825219
Austria,Onshore wind,2006,0.968269
Austria,Onshore wind,2007,0.991159
Austria,Onshore wind,2008,0.991974
Austria,Onshore wind,2009,1.000985
Austria,Onshore wind,2010,1.015828
Austria,Onshore wind,2011,1.105966
Austria,Onshore wind,2012,1.33715
Austria,Onshore wind,2013,1.674538
Austria,Onshore wind,2014,2.110275
Austria,Onshore wind,2015,2.488726
Austria,Onshore wind,2016,2.7299960000000003
Austria,Onshore wind,2017,2.886698
Austria,Onshore wind,2018,3.1327130000000003
Austria,Onshore wind,2019,3.224117
Austria,Onshore wind,2020,3.225985
Austria,Onshore wind,2021,3.523985
Austria,PV,2000,0.005
Austria,PV,2001,0.007
Austria,PV,2002,0.009
Austria,PV,2003,0.023
Austria,PV,2004,0.027
Austria,PV,2005,0.018484999999999998
Austria,PV,2006,0.019614
Austria,PV,2007,0.021417000000000002
Austria,PV,2008,0.026998
Austria,PV,2009,0.045562
Austria,PV,2010,0.085268
Austria,PV,2011,0.169883
Austria,PV,2012,0.333092
Austria,PV,2013,0.620784
Austria,PV,2014,0.7797569999999999
Austria,PV,2015,0.931563
Austria,PV,2016,1.089529
Austria,PV,2017,1.262008
Austria,PV,2018,1.447935
Austria,PV,2019,1.694396
Austria,PV,2020,2.0347370000000002
Austria,PV,2021,2.6837370000000003
Belgium,CCGT,2000,0.0
Belgium,CCGT,2001,0.0
Belgium,CCGT,2002,0.0
Belgium,CCGT,2003,0.0
Belgium,CCGT,2004,0.0
Belgium,CCGT,2005,0.0
Belgium,CCGT,2006,0.0
Belgium,CCGT,2007,0.0
Belgium,CCGT,2008,0.0
Belgium,CCGT,2009,0.0
Belgium,CCGT,2010,0.0
Belgium,CCGT,2011,0.0
Belgium,CCGT,2012,0.0
Belgium,CCGT,2013,0.0
Belgium,CCGT,2014,0.0
Belgium,CCGT,2015,0.0
Belgium,CCGT,2016,0.0
Belgium,CCGT,2017,0.0
Belgium,CCGT,2018,0.0
Belgium,CCGT,2019,0.0
Belgium,CCGT,2020,0.0
Belgium,CCGT,2021,0.0
Belgium,Hydro,2000,1.413
Belgium,Hydro,2001,1.421
Belgium,Hydro,2002,1.421
Belgium,Hydro,2003,1.42
Belgium,Hydro,2004,1.425
Belgium,Hydro,2005,1.412
Belgium,Hydro,2006,1.414
Belgium,Hydro,2007,1.417
Belgium,Hydro,2008,1.418
Belgium,Hydro,2009,1.417
Belgium,Hydro,2010,1.425
Belgium,Hydro,2011,1.426
Belgium,Hydro,2012,1.427
Belgium,Hydro,2013,1.429
Belgium,Hydro,2014,1.431
Belgium,Hydro,2015,1.422
Belgium,Hydro,2016,1.4190999999999998
Belgium,Hydro,2017,1.4170999999999998
Belgium,Hydro,2018,1.4178
Belgium,Hydro,2019,1.4141
Belgium,Hydro,2020,1.4158
Belgium,Hydro,2021,1.4168
Belgium,Nuclear,2000,5.713
Belgium,Nuclear,2001,5.738
Belgium,Nuclear,2002,5.761
Belgium,Nuclear,2003,5.761
Belgium,Nuclear,2004,5.761
Belgium,Nuclear,2005,5.802
Belgium,Nuclear,2006,5.825
Belgium,Nuclear,2007,5.825
Belgium,Nuclear,2008,5.825
Belgium,Nuclear,2009,5.902
Belgium,Nuclear,2010,5.927
Belgium,Nuclear,2011,5.927
Belgium,Nuclear,2012,5.927
Belgium,Nuclear,2013,5.927
Belgium,Nuclear,2014,5.927
Belgium,Nuclear,2015,5.913
Belgium,Nuclear,2016,5.913
Belgium,Nuclear,2017,5.918
Belgium,Nuclear,2018,5.918
Belgium,Nuclear,2019,5.93
Belgium,Nuclear,2020,5.942
Belgium,Nuclear,2021,5.942
Belgium,Offshore wind,2000,0.0
Belgium,Offshore wind,2001,0.0
Belgium,Offshore wind,2002,0.0
Belgium,Offshore wind,2003,0.0
Belgium,Offshore wind,2004,0.0
Belgium,Offshore wind,2005,0.0
Belgium,Offshore wind,2006,0.0
Belgium,Offshore wind,2007,0.0
Belgium,Offshore wind,2008,0.0
Belgium,Offshore wind,2009,0.0315
Belgium,Offshore wind,2010,0.1965
Belgium,Offshore wind,2011,0.1965
Belgium,Offshore wind,2012,0.381
Belgium,Offshore wind,2013,0.7077
Belgium,Offshore wind,2014,0.7077
Belgium,Offshore wind,2015,0.712
Belgium,Offshore wind,2016,0.7122
Belgium,Offshore wind,2017,0.8772000000000001
Belgium,Offshore wind,2018,1.1859000000000002
Belgium,Offshore wind,2019,1.5555
Belgium,Offshore wind,2020,2.2618
Belgium,Offshore wind,2021,2.2618
Belgium,Onshore wind,2000,0.014
Belgium,Onshore wind,2001,0.026
Belgium,Onshore wind,2002,0.031
Belgium,Onshore wind,2003,0.067
Belgium,Onshore wind,2004,0.096
Belgium,Onshore wind,2005,0.167
Belgium,Onshore wind,2006,0.212
Belgium,Onshore wind,2007,0.276
Belgium,Onshore wind,2008,0.324
Belgium,Onshore wind,2009,0.5765
Belgium,Onshore wind,2010,0.7155
Belgium,Onshore wind,2011,0.8725
Belgium,Onshore wind,2012,0.989
Belgium,Onshore wind,2013,1.0723
Belgium,Onshore wind,2014,1.2363
Belgium,Onshore wind,2015,1.464
Belgium,Onshore wind,2016,1.6578
Belgium,Onshore wind,2017,1.9102999999999999
Belgium,Onshore wind,2018,2.082
Belgium,Onshore wind,2019,2.3079
Belgium,Onshore wind,2020,2.4191
Belgium,Onshore wind,2021,2.51784
Belgium,PV,2000,0.0
Belgium,PV,2001,0.0
Belgium,PV,2002,0.001
Belgium,PV,2003,0.001
Belgium,PV,2004,0.001
Belgium,PV,2005,0.002
Belgium,PV,2006,0.002
Belgium,PV,2007,0.02
Belgium,PV,2008,0.062
Belgium,PV,2009,0.386
Belgium,PV,2010,1.0066
Belgium,PV,2011,1.9786
Belgium,PV,2012,2.6466
Belgium,PV,2013,2.9015999999999997
Belgium,PV,2014,3.015
Belgium,PV,2015,3.1315999999999997
Belgium,PV,2016,3.3288
Belgium,PV,2017,3.6206
Belgium,PV,2018,4.0
Belgium,PV,2019,4.6366000000000005
Belgium,PV,2020,5.5748
Belgium,PV,2021,6.5846
Bosnia and Herzegovina,CCGT,2000,0.0
Bosnia and Herzegovina,CCGT,2001,0.0
Bosnia and Herzegovina,CCGT,2002,0.0
Bosnia and Herzegovina,CCGT,2003,0.0
Bosnia and Herzegovina,CCGT,2004,0.0
Bosnia and Herzegovina,CCGT,2005,0.0
Bosnia and Herzegovina,CCGT,2006,0.0
Bosnia and Herzegovina,CCGT,2007,0.0
Bosnia and Herzegovina,CCGT,2008,0.0
