spore,metric,unit,paper_metrics
max_bat/spore_0,electricity_production_gini,fraction,0.6268254477255376
max_bat/spore_0,transport_electrification,percentage,99.99953532505653
max_bat/spore_0,heat_electrification,percentage,3.9299300430106023
max_bat/spore_0,storage_discharge_capacity,tw,0.011054055722245321
max_bat/spore_0,average_national_import,twh,8.090472533996676
max_bat/spore_1,electricity_production_gini,fraction,0.6261801017509788
max_bat/spore_1,transport_electrification,percentage,99.99993142513193
max_bat/spore_1,heat_electrification,percentage,4.186236352580711
max_bat/spore_1,storage_discharge_capacity,tw,0.00866887639428915
max_bat/spore_1,average_national_import,twh,8.213148927945205
max_bat/spore_2,electricity_production_gini,fraction,0.6261801017509788
max_bat/spore_2,transport_electrification,percentage,99.99993142513193
max_bat/spore_2,heat_electrification,percentage,4.186236352580711
max_bat/spore_2,storage_discharge_capacity,tw,0.00866887639428915
max_bat/spore_2,average_national_import,twh,8.213148927945205
max_bat/spore_3,electricity_production_gini,fraction,0.6261801017509788
max_bat/spore_3,transport_electrification,percentage,99.99993142513193
max_bat/spore_3,heat_electrification,percentage,4.186236352580711
max_bat/spore_3,storage_discharge_capacity,tw,0.00866887639428915
max_bat/spore_3,average_national_import,twh,8.213148927945205
max_bat/spore_4,electricity_production_gini,fraction,0.6261801017509788
max_bat/spore_4,transport_electrification,percentage,99.99993142513193
max_bat/spore_4,heat_electrification,percentage,4.186236352580711
max_bat/spore_4,storage_discharge_capacity,tw,0.00866887639428915
max_bat/spore_4,average_national_import,twh,8.213148927945205
max_bat/spore_5,electricity_production_gini,fraction,0.6261801017509788
max_bat/spore_5,transport_electrification,percentage,99.99993142513193
max_bat/spore_5,heat_electrification,percentage,4.186236352580711
max_bat/spore_5,storage_discharge_capacity,tw,0.00866887639428915
max_bat/spore_5,average_national_import,twh,8.213148927945205
max_bio/spore_0,electricity_production_gini,fraction,0.6264639416955756
max_bio/spore_0,transport_electrification,percentage,99.99497087126637
max_bio/spore_0,heat_electrification,percentage,3.9736370739731575
max_bio/spore_0,storage_discharge_capacity,tw,0.027573473402344235
max_bio/spore_0,average_national_import,twh,8.103492353451553
max_bio/spore_1,electricity_production_gini,fraction,0.5745190866770238
max_bio/spore_1,transport_electrification,percentage,99.13259690768415
max_bio/spore_1,heat_electrification,percentage,10.869850349259321
max_bio/spore_1,storage_discharge_capacity,tw,2.4061113969325048
max_bio/spore_1,average_national_import,twh,6.920353871288934
max_bio/spore_2,electricity_production_gini,fraction,0.5745190866770238
max_bio/spore_2,transport_electrification,percentage,99.13259690768415
max_bio/spore_2,heat_electrification,percentage,10.869850349259321
max_bio/spore_2,storage_discharge_capacity,tw,2.4061113969325048
max_bio/spore_2,average_national_import,twh,6.920353871288934
max_bio/spore_3,electricity_production_gini,fraction,0.5745190866770238
max_bio/spore_3,transport_electrification,percentage,99.13259690768415
max_bio/spore_3,heat_electrification,percentage,10.869850349259321
max_bio/spore_3,storage_discharge_capacity,tw,2.4061113969325048
max_bio/spore_3,average_national_import,twh,6.920353871288934
max_bio/spore_4,electricity_production_gini,fraction,0.5745190866770238
max_bio/spore_4,transport_electrification,percentage,99.13259690768415
max_bio/spore_4,heat_electrification,percentage,10.869850349259321
max_bio/spore_4,storage_discharge_capacity,tw,2.4061113969325048
max_bio/spore_4,average_national_import,twh,6.920353871288934
max_bio/spore_5,electricity_production_gini,fraction,0.5745190866770238
max_bio/spore_5,transport_electrification,percentage,99.13259690768415
max_bio/spore_5,heat_electrification,percentage,10.869850349259321
max_bio/spore_5,storage_discharge_capacity,tw,2.4061113969325048
max_bio/spore_5,average_national_import,twh,6.920353871288934
max_p2g/spore_0,electricity_production_gini,fraction,0.6268254477255376
max_p2g/spore_0,transport_electrification,percentage,99.99953532505653
max_p2g/spore_0,heat_electrification,percentage,3.9299300430106023
max_p2g/spore_0,storage_discharge_capacity,tw,0.011054055722245321
max_p2g/spore_0,average_national_import,twh,8.090472533996676
max_p2g/spore_1,electricity_production_gini,fraction,0.6249315460555936
max_p2g/spore_1,transport_electrification,percentage,99.99990083989904
