region,technology,spore,capacity_twh
Albania,battery,0,1.545505224880508e-05
Albania,battery,1,0.0004861181979835
Albania,battery,2,8.622225021416941e-07
Albania,battery,3,1.96974546355252e-07
Albania,battery,4,5.599336759992427e-07
Albania,battery,5,2.527247946098099e-06
Albania,battery,6,1.804553597410614e-07
Albania,battery,7,1.3382480284132425e-07
Albania,battery,8,1.0459550733668603e-06
Albania,battery,9,1.8917945582440093e-07
Albania,battery,10,1.7473497225661725e-07
Albania,battery,11,0.0018421503272921
Albania,battery,12,1.1873768113917645e-06
Albania,battery,13,0.0018421503272921
Albania,battery,14,0.0018421503272921
Albania,battery,15,0.0018421503272921
Albania,battery,16,0.0018421503272921
Albania,battery,17,0.0021288049410446
Albania,battery,18,1.545505224880508e-05
Albania,battery,19,0.0021288049410446
Albania,battery,20,0.0021288049410446
Albania,battery,21,0.0021288049410446
Albania,battery,22,0.0021288049410446
Albania,battery,23,1.1873768113917645e-06
Albania,battery,24,2.002959096946339e-07
Albania,battery,25,2.002959096946339e-07
Albania,battery,26,2.002959096946339e-07
Albania,battery,27,2.002959096946339e-07
Albania,battery,28,2.002959096946339e-07
Albania,battery,29,4.076434463161199e-06
Albania,battery,30,4.076434463161199e-06
Albania,battery,31,1.1873768113917645e-06
Albania,battery,32,4.076434463161199e-06
Albania,battery,33,4.076434463161199e-06
Albania,battery,34,4.076434463161199e-06
Albania,battery,35,0.0014610099632729
Albania,battery,36,0.0014610099632729
Albania,battery,37,1.1873768113917645e-06
Albania,battery,38,0.0014610099632729
Albania,battery,39,0.0014610099632729
Albania,battery,40,0.0014610099632729
Albania,battery,41,1.3103627127824912e-05
Albania,battery,42,1.3103627127824912e-05
Albania,battery,43,1.1873768113917645e-06
Albania,battery,44,1.3103627127824912e-05
Albania,battery,45,1.3103627127824912e-05
Albania,battery,46,1.3103627127824912e-05
Albania,battery,47,0.0007041908698495
Albania,battery,48,0.0007041908698495
Albania,battery,49,1.1873768113917645e-06
Albania,battery,50,0.0007041908698495
Albania,battery,51,0.0007041908698495
Albania,battery,52,0.0007041908698495
Albania,battery,53,0.0018421503272921
Albania,battery,54,0.0018421503272921
Albania,battery,55,1.1873768113917645e-06
Albania,battery,56,0.0018421503272921
Albania,battery,57,0.0018421503272921
Albania,battery,58,0.0018421503272921
Albania,battery,59,0.0021288049410446
Albania,battery,60,0.0021288049410446
Albania,battery,61,1.545505224880508e-05
Albania,battery,62,0.0021288049410446
Albania,battery,63,0.0021288049410446
Albania,battery,64,0.0021288049410446
Albania,battery,65,0.0017369040351252
Albania,battery,66,1.1873768113917645e-06
Albania,battery,67,0.0017369040351252
Albania,battery,68,0.0017369040351252
Albania,battery,69,0.0017369040351252
Albania,battery,70,0.0017369040351252
Albania,battery,71,0.0017240522622046
Albania,battery,72,0.0017240522622046
Albania,battery,73,1.1873768113917645e-06
Albania,battery,74,0.0017240522622046
Albania,battery,75,0.0017240522622046
Albania,battery,76,0.0017240522622046
Albania,battery,77,1.7296362520131846e-06
Albania,battery,78,1.7296362520131846e-06
Albania,battery,79,1.1873768113917645e-06
Albania,battery,80,1.7296362520131846e-06
Albania,battery,81,1.7296362520131846e-06
Albania,battery,82,1.7296362520131846e-06
Albania,battery,83,1.1873768113917645e-06
Albania,battery,84,1.455065116622064e-07
Albania,battery,85,1.455065116622064e-07
Albania,battery,86,1.455065116622064e-07
Albania,battery,87,1.455065116622064e-07
Albania,battery,88,1.455065116622064e-07
Albania,battery,89,1.1873768113917645e-06
Albania,battery,90,0.0019217950479397
Albania,battery,91,0.0019217950479397
Albania,battery,92,0.0019217950479397
Albania,battery,93,0.0019217950479397
Albania,battery,94,0.0019217950479397
Albania,battery,95,0.0017195568790295
Albania,battery,96,0.0017195568790295
Albania,battery,97,1.1873768113917645e-06
Albania,battery,98,0.0017195568790295
Albania,battery,99,0.0017195568790295
Albania,battery,100,0.0017195568790295
Albania,battery,101,5.277903217204409e-07
Albania,battery,102,5.277903217204409e-07
Albania,battery,103,1.1873768113917645e-06
Albania,battery,104,5.277903217204409e-07
Albania,battery,105,5.277903217204409e-07
Albania,battery,106,5.277903217204409e-07
Albania,battery,107,0.0021649183563451
Albania,battery,108,0.0021649183563451
Albania,battery,109,1.1873768113917645e-06
Albania,battery,110,0.0021649183563451
Albania,battery,111,0.0021649183563451
Albania,battery,112,0.0021649183563451
Albania,battery,113,4.040454510974239e-06
Albania,battery,114,1.1873768113917645e-06
Albania,battery,115,4.040454510974239e-06
Albania,battery,116,4.040454510974239e-06
Albania,battery,117,4.040454510974239e-06
Albania,battery,118,4.040454510974239e-06
Albania,battery,119,1.7473497225661725e-07
Albania,battery,120,9.078541555462644e-07
Albania,battery,121,1.8917945582440093e-07
Albania,battery,122,1.1390575713680432e-06
Albania,battery,123,1.685774088725631e-07
Albania,battery,124,1.804553597410614e-07
Albania,battery,125,1.7448942147185137e-06
Albania,battery,126,1.96974546355252e-07
Albania,battery,127,8.622225021416941e-07
Albania,battery,128,1.0459550733668603e-06
Albania,battery,129,0.0004861181979835
Albania,battery,130,5.599336759992427e-07
Albania,battery,131,1.545505224880508e-05
Albania,battery,132,1.8552981639369481e-07
Albania,battery,133,2.527247946098099e-06
Albania,battery,134,1.3382480284132425e-07
Albania,battery,135,1.545505224880508e-05
Albania,battery,136,0.0004943965925566
Albania,battery,137,1.8117718148012602e-07
Albania,battery,138,1.435794591030224e-07
Albania,battery,139,1.748234083748421e-07
Albania,battery,140,2.29906317529636e-07
Albania,battery,141,1.773250484832452e-07
Albania,battery,142,1.502007728988648e-07
Albania,battery,143,1.5552177304747883e-06
Albania,battery,144,2.10253391488756e-07
Albania,battery,145,1.969513553994853e-07
Albania,battery,146,5.920456487138468e-06
Albania,battery,147,2.7879822958697746e-06
Albania,battery,148,1.2490153782248097e-06
Albania,battery,149,4.0030811065650825e-06
Albania,battery,150,2.8250123575031527e-06
Albania,battery,151,5.030613175572257e-06
Albania,battery,152,4.634724680950588e-06
Albania,battery,153,4.968962574010331e-06
Albania,battery,154,1.0299054788416177e-06
Albania,battery,155,4.492137967787942e-06
Albania,battery,156,6.804244443617648e-06
Albania,battery,157,1.545505224880508e-05
Albania,battery,158,0.0004701443489348
Albania,battery,159,3.39101011880305e-07
Albania,battery,160,2.581012379036767e-07
Albania,battery,161,1.7685237946260305e-07
Albania,battery,162,1.907089920596069e-07
Albania,battery,163,2.090536545621233e-07
Albania,battery,164,1.556548961341917e-07
Albania,battery,165,2.745497583687087e-07
Albania,battery,166,1.9861856438167209e-07
Albania,battery,167,1.760627441675688e-07
Albania,battery,168,1.3223137260262312e-06
Albania,battery,169,2.707640105352874e-07
Albania,battery,170,3.013981758168593e-07
Albania,battery,171,2.126608527879274e-06
Albania,battery,172,1.6721102244008106e-06
Albania,battery,173,1.917339004898525e-07
Albania,battery,174,9.847284539919529e-08
Albania,battery,175,2.126308144973113e-07
Albania,battery,176,1.3234041625544993e-06
Albania,battery,177,2.57362290680045e-07
Albania,battery,178,1.1613539546770797e-07
