spore,importing_region,exporting_region,grid_transfer_capacity
0,Albania,Greece,0.800004614907
0,Albania,Montenegro,1.6836641038251001
0,Albania,North Macedonia,0.7000057677896
0,Albania,Serbia,2.001969838639
0,Austria,Czechia,19.623864750627998
0,Austria,Germany,21.2694121877754
0,Austria,Hungary,15.9998973440354
0,Austria,Italy,2.3779223596593
0,Austria,Slovenia,3.3602415440983
0,Austria,Switzerland,2.4000128291765
0,Belgium,France,33.7156043791919
0,Belgium,Germany,2.0000099988234
0,Belgium,Luxembourg,2.0250746180324
0,Belgium,Netherlands,31.6339222556074
0,Belgium,United Kingdom,2.3999955525001
0,Bosnia Herzegovina,Croatia,4.0000019491404
0,Bosnia Herzegovina,Montenegro,1.4000281190029
0,Bosnia Herzegovina,Serbia,3.0999985807280996
0,Bulgaria,Greece,19.9977881351384
0,Bulgaria,North Macedonia,0.7000577634633
0,Bulgaria,Romania,14.7841900123519
0,Bulgaria,Serbia,16.200447993967302
0,Croatia,Bosnia Herzegovina,4.0000019491404
0,Croatia,Hungary,8.3379640944197
0,Croatia,Serbia,0.7000513677458
0,Croatia,Slovenia,3.4000077547350998
0,Cyprus,Greece,2.0000112032052
0,Czechia,Austria,19.623864750627998
0,Czechia,Germany,31.841931304462197
0,Czechia,Poland,19.9507463946594
0,Czechia,Slovakia,21.0921021055193
0,Denmark,Germany,33.6032999995972
0,Denmark,Netherlands,0.7000985435415
0,Denmark,Norway,1.7000013085485999
0,Denmark,Poland,0.600004114113
0,Denmark,Sweden,16.6672562018963
0,Denmark,United Kingdom,10.0093834260662
0,Estonia,Finland,4.060183247979
0,Estonia,Latvia,13.2321390245386
0,Finland,Estonia,4.060183247979
0,Finland,Norway,0.7902935795292999
0,Finland,Sweden,18.0791601424005
0,France,Belgium,33.7156043791919
0,France,Germany,52.998616436031696
0,France,Ireland,6.1635231884467
0,France,Italy,32.8151249125212
0,France,Spain,105.1952775107608
0,France,Switzerland,29.4913712932298
0,France,United Kingdom,19.2500240581878
0,Germany,Austria,21.2694121877754
0,Germany,Belgium,2.0000099988234
0,Germany,Czechia,31.841931304462197
0,Germany,Denmark,33.6032999995972
0,Germany,France,52.998616436031696
0,Germany,Luxembourg,5.1147349047096
0,Germany,Netherlands,15.728478954145999
0,Germany,Norway,7.007824549378
0,Germany,Poland,16.2241869695746
0,Germany,Sweden,25.9997788950342
0,Germany,Switzerland,20.4463170982616
0,Germany,United Kingdom,12.5302801539267
0,Greece,Albania,0.800004614907
0,Greece,Bulgaria,19.9977881351384
0,Greece,Cyprus,2.0000112032052
0,Greece,Italy,7.4342813075373
0,Greece,North Macedonia,6.7568814883186
0,Hungary,Austria,15.9998973440354
0,Hungary,Croatia,8.3379640944197
0,Hungary,Romania,12.5017465510613
0,Hungary,Serbia,23.316424128075102
0,Hungary,Slovakia,25.4116639558421
0,Hungary,Slovenia,32.6114888191388
0,Iceland,United Kingdom,2.2271100854342003
0,Ireland,France,6.1635231884467
0,Ireland,United Kingdom,7.102646532615701
0,Italy,Austria,2.3779223596593
0,Italy,France,32.8151249125212
0,Italy,Greece,7.4342813075373
0,Italy,Montenegro,5.8916860510743
0,Italy,Slovenia,26.999892328765302
0,Italy,Switzerland,8.5006634476806
0,Latvia,Estonia,13.2321390245386
0,Latvia,Lithuania,14.999817620943901
0,Lithuania,Latvia,14.999817620943901
0,Lithuania,Poland,26.2865583071669
0,Lithuania,Sweden,6.1520314970963
0,Luxembourg,Belgium,2.0250746180324
0,Luxembourg,Germany,5.1147349047096
0,Montenegro,Albania,1.6836641038251001
0,Montenegro,Bosnia Herzegovina,1.4000281190029
0,Montenegro,Italy,5.8916860510743
0,Montenegro,Serbia,2.9000458008674
0,Netherlands,Belgium,31.6339222556074
0,Netherlands,Denmark,0.7000985435415
0,Netherlands,Germany,15.728478954145999
0,Netherlands,Norway,27.999542678129398
0,Netherlands,United Kingdom,6.1056747800803
0,North Macedonia,Albania,0.7000057677896
0,North Macedonia,Bulgaria,0.7000577634633
0,North Macedonia,Greece,6.7568814883186
0,North Macedonia,Serbia,7.6021633296937
0,Norway,Denmark,1.7000013085485999
0,Norway,Finland,0.7902935795292999
0,Norway,Germany,7.007824549378
0,Norway,Netherlands,27.999542678129398
0,Norway,Sweden,35.5997310373595
0,Norway,United Kingdom,14.9228557875553
0,Poland,Czechia,19.9507463946594
0,Poland,Denmark,0.600004114113
0,Poland,Germany,16.2241869695746
0,Poland,Lithuania,26.2865583071669
0,Poland,Slovakia,8.595029617839
0,Poland,Sweden,9.4615276334493
0,Portugal,Spain,28.1607668575213
0,Romania,Bulgaria,14.7841900123519
0,Romania,Hungary,12.5017465510613
0,Romania,Serbia,2.5000146021804
0,Serbia,Albania,2.001969838639
0,Serbia,Bosnia Herzegovina,3.0999985807280996
0,Serbia,Bulgaria,16.200447993967302
0,Serbia,Croatia,0.7000513677458
0,Serbia,Hungary,23.316424128075102
0,Serbia,Montenegro,2.9000458008674
0,Serbia,North Macedonia,7.6021633296937
0,Serbia,Romania,2.5000146021804
0,Slovakia,Czechia,21.0921021055193
0,Slovakia,Hungary,25.4116639558421
0,Slovakia,Poland,8.595029617839
0,Slovenia,Austria,3.3602415440983
0,Slovenia,Croatia,3.4000077547350998
0,Slovenia,Hungary,32.6114888191388
