year,region,technology,carriers,spore,capacity_twh
2030,Albania,Battery storage,electricity,0,5.984440107788513e-06
2030,Albania,Battery storage,electricity,21,1.4010592106818692e-06
2030,Albania,Battery storage,electricity,32,0.00019901781901597915
2030,Albania,Battery storage,electricity,77,2.692042570807661e-05
2030,Albania,Battery storage,electricity,100,0.0002391417081530126
2030,Albania,Battery storage,electricity,206,1.1056654634493911e-07
2030,Albania,Battery storage,electricity,255,0.0
2030,Albania,Battery storage,electricity,263,6.876637122235351e-06
2030,Albania,Battery storage,electricity,328,0.0025176530358094794
2030,Albania,Battery storage,electricity,345,0.0005868000640455984
2030,Albania,Battery storage,electricity,431,2.609526983189205e-07
2030,Albania,Heat storage,heat,0,0.00041759987754787995
2030,Albania,Heat storage,heat,21,0.0018489058161169935
2030,Albania,Heat storage,heat,32,0.06681358784272659
2030,Albania,Heat storage,heat,77,0.0018807641189209322
2030,Albania,Heat storage,heat,100,0.009461553243357512
2030,Albania,Heat storage,heat,206,0.001998764315190375
2030,Albania,Heat storage,heat,255,0.0
2030,Albania,Heat storage,heat,263,0.0011415388802526452
2030,Albania,Heat storage,heat,328,0.001481736522015781
2030,Albania,Heat storage,heat,345,0.032631225280970295
2030,Albania,Heat storage,heat,431,0.0003949482461188247
2030,Albania,Hydro storage,electricity,0,0.6079360404768134
2030,Albania,Hydro storage,electricity,21,0.5032186510108279
2030,Albania,Hydro storage,electricity,32,0.3381185317119227
2030,Albania,Hydro storage,electricity,77,0.07360821506406637
2030,Albania,Hydro storage,electricity,100,0.17370503432725334
2030,Albania,Hydro storage,electricity,206,0.2960756372949979
2030,Albania,Hydro storage,electricity,255,0.29947342489251766
2030,Albania,Hydro storage,electricity,263,0.04168153275026035
2030,Albania,Hydro storage,electricity,328,0.14912284746214505
2030,Albania,Hydro storage,electricity,345,0.248116291627583
2030,Albania,Hydro storage,electricity,431,0.5015478152422259
2030,Albania,Hydrogen storage,hydrogen,0,2.104945598420893e-06
2030,Albania,Hydrogen storage,hydrogen,21,8.311911188196171e-06
2030,Albania,Hydrogen storage,hydrogen,32,0.0006996848801286397
2030,Albania,Hydrogen storage,hydrogen,77,1.0267990110950562e-05
2030,Albania,Hydrogen storage,hydrogen,100,0.0006152152901892846
2030,Albania,Hydrogen storage,hydrogen,206,8.254428981735622e-07
2030,Albania,Hydrogen storage,hydrogen,255,0.0
